text,label,attack_type,original_text
H~i i#f ur~ lookin ^4 saucy dayti|me fun wiv bus#ty mar.ried .#woman Am /*free all next week Chat now_ 2 sort* tim#e 09099726429 JANI/NExx Callså£1/mi~nMob_s#mo_r_eLKPOBOX17..7HP_51FL~,1,B,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
Wherre's my boytoy ? :-(,0,normal,Wherre's my boytoy ? :-(
[PUSH]山西朔州-139~*98168940用/戶:系统存在漏*|洞(3)!需立_,1,B,[PUSH]山西朔州-13998168940用/戶:系统存在漏洞(3)!需立
您本月已用套餐外上网费_10.0^0元#(1元/M)，申请升级套餐可立即享*受低~于0.2元/M的~低价。回J|SGPRSX查询套|#餐介绍。,1,B,您本月已用套餐外上网费10.00元(1元/M)，申请升级套餐可立即享受低于0.2元/M的低价。回JSGPRSX查询套餐介绍。
据说在老公遇到困难时，欧美女人会说：亲爱的，你已经做得很好了！日本女人会说：某某君，请努力！中国女人会说：你看人家谁谁，你怎么这么笨！,0,normal,据说在老公遇到困难时，欧美女人会说：亲爱的，你已经做得很好了！日本女人会说：某某君，请努力！中国女人会说：你看人家谁谁，你怎么这么笨！
您好！截至到2014年07月04日17时23分，您已使用数据流量36.04MB，其中套餐外流量36.04MB，已产生套餐外流量费用0.0元，套餐内剩余流量20.0MB，感谢您使用流量查询服务。中国移动,0,normal,您好！截至到2014年07月04日17时23分，您已使用数据流量36.04MB，其中套餐外流量36.04MB，已产生套餐外流量费用0.0元，套餐内剩余流量20.0MB，感谢您使用流量查询服务。中国移动
双十一狂欢倒计时！库存有限，开启电脑，提前充值，相约0点，抢货快又省 http://fedxl.tmall.com <fed旗舰店>,0,normal,双十一狂欢倒计时！库存有限，开启电脑，提前充值，相约0点，抢货快又省 http://fedxl.tmall.com <fed旗舰店>
"Nah can't help you there, I've never had an iphone",0,normal,"Nah can't help you there, I've never had an iphone"
"您尾号7544卡14日14:06ATM支出2,000元，手续费2元。【工商银行】",0,normal,"您尾号7544卡14日14:06ATM支出2,000元，手续费2元。【工商银行】"
【minicute米乔专卖店】亲爱的陈广大，感谢购买我们的商品！我们将随时跟踪播报状态，方便您随时了解。亲如果有问题可以联系客服哦。,0,normal,【minicute米乔专卖店】亲爱的陈广大，感谢购买我们的商品！我们将随时跟踪播报状态，方便您随时了解。亲如果有问题可以联系客服哦。
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,normal,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
"您尾号7544卡19日15:23网上银行支出(消费)1,544元。【工商银行】",0,normal,"您尾号7544卡19日15:23网上银行支出(消费)1,544元。【工商银行】"
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",0,normal,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
美媒曝^*光中国#地下空军:不可战胜[搜狐|]-#中国移动冲浪助手#:http://go.10086.cn/nd/_.m#gp/16rvmO,1,B,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/16rvmO
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",0,normal,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
您尾号1984浦发信用卡因交易密码错误于13:11人民币230.00元交易失败。如有疑问，请致电卡背面客服热线。【浦发银行】,0,normal,您尾号1984浦发信用卡因交易密码错误于13:11人民币230.00元交易失败。如有疑问，请致电卡背面客服热线。【浦发银行】
探秘中国唯一^核武~~器生产单位[搜狐]-中~国移动冲浪助手:http://go.10086.cn/n~d/mf^4./S.Xqv7,1,B,探秘中国唯一核武器生产单位[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mf4/SXqv7
江苏*联通3G|晚间随意玩流.量包月优惠套餐全新上*市，/回复1701~开通*10元包1G省内流量、回复1702开通30元包*5G省内#~流量，晚间时段为每日2*3点至次日8点。~订制立即生效，点击链接也可轻~松办理：       ht#tp:///go..js165.co_m/i/1/~QBkGeX#/WG,1,B,江苏联通3G晚间随意玩流量包月优惠套餐全新上市，回复1701开通10元包1G省内流量、回复1702开通30元包5G省内流量，晚间时段为每日23点至次日8点。订制立即生效，点击链接也可轻松办理：       http://go.js165.com/i/1/QBkGeXWG
How much she payed. Suganya.,0,normal,How much she payed. Suganya.
