text,label,attack_type,original_text
"That day Ì_ say Ì_ cut ur hair at paragon, is it called hair sense? Do Ì_ noe how much is a hair cut? ",0,normal,"That day Ì_ say Ì_ cut ur hair at paragon, is it called hair sense? Do Ì_ noe how much is a hair cut? "
新品别墅上市，140万，150～180平，⼾户通温泉，不限购，赠庭院、地下室、大露台，2万抵10万，温泉孔雀城4006561909[房讯通],1,G,新品别墅上市，140万，150～180平，户户通温泉，不限购，赠庭院、地下室、大露台，2万抵10万，温泉孔雀城4006561909[房讯通]
[PUSH]夭津-诺 基 亚提醒：您手机版本过低，急需升级2013版恢复部分,1,G,[PUSH]天津-诺 基 亚提醒：您手机版本过低，急需升级2013版恢复部分
【义乌精品城，认筹买铺拆扣活动抢办中，活动仅剩12天！】即日起至5月31日，商铺总价可享8折优惠！新货车站前底总价、高回报旺铺5263333,1,G,【义乌精品城，认筹买铺折扣活动抢办中，活动仅剩12天！】即日起至5月31日，商铺总价可享8折优惠！新货车站前底总价、高回报旺铺5263333
"Yeah, probably here for a while",0,normal,"Yeah, probably here for a while"
10.8万开走雷克萨斯ES250，0利息0月供！4年10万公里兔费保修保养！加长豪华大轿，仅剩最后5台。询8337777[兰州美东4S店],1,G,10.8万开走雷克萨斯ES250，0利息0月供！4年10万公里免费保修保养！加长豪华大轿，仅剩最后5台。询8337777[兰州美东4S店]
Poor girl can't go one day lmao,0,normal,Poor girl can't go one day lmao
"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",0,normal,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
我在05月09日17时19分给您打了1次电话，请方便时回复。【来自语音信箱】,0,normal,我在05月09日17时19分给您打了1次电话，请方便时回复。【来自语音信箱】
抱歉，预订失败！ 04月13日 12:30 四叶(三里屯店)的店小二正在打瞌睡，试试其他餐厅吧~【大众点评】,0,normal,抱歉，预订失败！ 04月13日 12:30 四叶(三里屯店)的店小二正在打瞌睡，试试其他餐厅吧~【大众点评】
Just getting back home,0,normal,Just getting back home
ÌÏ dun wan to watch infernal affair?,0,normal,ÌÏ dun wan to watch infernal affair?
Kent vale lor... ÌÏ wait 4 me there ar?,0,normal,Kent vale lor... ÌÏ wait 4 me there ar?
How much she payed. Suganya.,0,normal,How much she payed. Suganya.
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,normal,I'm still looking for a car to buy. And have not gone 4the driving test yet.
"""【当当网】亲爱的金卡VIP，年度大升级仅5天：金卡会员购书满100元秒升钻石VIP",0,normal,"""【当当网】亲爱的金卡VIP，年度大升级仅5天：金卡会员购书满100元秒升钻石VIP"
3G流量勉费送！现在起加入联通3G流量网龄升级计划两年内可获赠20-60M/月省内流量，时间越长获赠流量越多，快来参加！       http://ln.wap.wo.com.cn/i/1/LgUxPm8u,1,G,3G流量免费送！现在起加入联通3G流量网龄升级计划两年内可获赠20-60M/月省内流量，时间越长获赠流量越多，快来参加！       http://ln.wap.wo.com.cn/i/1/LgUxPm8u
纸袋碰腿北京2孕妇地铁内互殴[八民]-中国移动冲浪助手:http://go.10086.cn/nd/mh4/BIpRB,1,G,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh4/BIpRB
[沃立方 南方会]即日至5月26日，购Bata春夏商品一件6折、两件5折；特价商品拆上85折。地址：广州天河城、广州各店专卖店。详情请点击  http://zm.17wo.cn/z/ZJNzMj,1,G,[沃立方 南方会]即日至5月26日，购Bata春夏商品一件6折、两件5折；特价商品折上85折。地址：广州天河城、广州名店专卖店。详情请点击  http://zm.17wo.cn/z/ZJNzMj
亲，520.13.14，我等您！品客味上“光盘·亲民菜本”纯情上市，新推30款口味平价美食，大厅满100送50，每曰四款12元内特价精品菜，5月20日魅力起航。美食热线：84898633【味对家常，爱上生活】,1,G,亲，520.13.14，我等您！品客味上“光盘·亲民菜本”纯情上市，新推30款口味平价美食，大厅满100送50，每日四款12元内特价精品菜，5月20日魅力起航。美食热线：84898633【味对家常，爱上生活】
【银华基金】尊敬的持有人，银华回报定期开放发起式基金（000904）12月8日起限量5亿发售，投资总监王华亲自挂帅，追求绝对收益。管理费与收益挂钩，与您风险共担、利益共享。选择银华网上直销，认购费0元起。银华官方微信号：yhfund，还可直接搜索公众号“银华基金”，账房大管家小华恭候您的关注。投资须谨慎。,0,normal,【银华基金】尊敬的持有人，银华回报定期开放发起式基金（000904）12月8日起限量5亿发售，投资总监王华亲自挂帅，追求绝对收益。管理费与收益挂钩，与您风险共担、利益共享。选择银华网上直销，认购费0元起。银华官方微信号：yhfund，还可直接搜索公众号“银华基金”，账房大管家小华恭候您的关注。投资须谨慎。
好莱坞量贩式KTV清凉一夏主题活动！即曰起至月底下午场小包厢免费唱，啤酒买二送一，开包厢送啤酒、小吃、果盘。热线：85039777【讯】,1,G,好莱坞量贩式KTV清凉一夏主题活动！即日起至月底下午场小包厢免费唱，啤酒买二送一，开包厢送啤酒、小吃、果盘。热线：85039777【讯】
尊敬的南航旅客，您好！您回复的信息已经受理并正在处理中。（此信息不需要回复）【南航】,0,normal,尊敬的南航旅客，您好！您回复的信息已经受理并正在处理中。（此信息不需要回复）【南航】
零号男庆V+3周年，全场5折封顶，仅5月18曰0-24点 登陆 vjia.com 尽享独家优惠。【V+零号男】,1,G,零号男庆V+3周年，全场5折封顶，仅5月18日0-24点 登陆 vjia.com 尽享独家优惠。【V+零号男】
纸袋碰腿北京2孕妇地铁内互殴[入民]-中国移动冲浪助手:http://go.10086.cn/nd/mhe/JQAmX,1,G,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mhe/JQAmX
【猎聘网】猎聘秘书台:16:53与您通话的是猎头赵艳铃(ID号:LT1138906)可登录网站查询联系.请您回复短信对此次通话进行评价，1为满意，2为一般，3为不满意。,0,normal,【猎聘网】猎聘秘书台:16:53与您通话的是猎头赵艳铃(ID号:LT1138906)可登录网站查询联系.请您回复短信对此次通话进行评价，1为满意，2为一般，3为不满意。
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0,normal,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
【京东】您的25元乐享礼包11.30到期啦，上vip.jd.com查看是否已领，含全品类20元和手机充值5元券，别浪费哦！回TD退订,0,normal,【京东】您的25元乐享礼包11.30到期啦，上vip.jd.com查看是否已领，含全品类20元和手机充值5元券，别浪费哦！回TD退订
温馨提示，您本月优惠套餐内总流量己使用65.5M，还剩余54.5M，不要白白浪费哦！月底了，到爱游戏选两个好玩的游戏吧！http://wapgame.189.cn,1,G,温馨提示，您本月优惠套餐内总流量已使用65.5M，还剩余54.5M，不要白白浪费哦！月底了，到爱游戏选两个好玩的游戏吧！http://wapgame.189.cn
And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,0,normal,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
亲，这个别墅可以哦，环境好，价格也便宜！联排、叠拼都有！140万就可以买了，但是不办卡肯定买不倒！赶紧联系这个置业顾间15922555985,1,G,亲，这个别墅可以哦，环境好，价格也便宜！联排、叠拼都有！140万就可以买了，但是不办卡肯定买不倒！赶紧联系这个置业顾问15922555985
亲爱的携程会员，我们已经全面开通微信服务号，为会员提供随时、随地的支持和服务，更有震撼的优惠给您。现在首次关注ictrip，并发微信：*cj+绑定手机号，即可额外获赠1000携程积分。  http://t.ctrip.cn/ao7WoF  回T退订【携程】,0,normal,亲爱的携程会员，我们已经全面开通微信服务号，为会员提供随时、随地的支持和服务，更有震撼的优惠给您。现在首次关注ictrip，并发微信：*cj+绑定手机号，即可额外获赠1000携程积分。  http://t.ctrip.cn/ao7WoF  回T退订【携程】
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,0,normal,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
I dunno they close oredi not... ÌÏ v ma fan...,0,normal,I dunno they close oredi not... ÌÏ v ma fan...
I'll text now! All creepy like so he won't think that we forgot,0,normal,I'll text now! All creepy like so he won't think that we forgot
Prabha..i'm soryda..realy..frm heart i'm sory,0,normal,Prabha..i'm soryda..realy..frm heart i'm sory
临千亩晋阳湖，拥夫下入怀。新派仕绅主场，170-220㎡湖景四房，享50-150万豪装，领袖全城【世茂御龙湾】68222222【世茂】,1,G,临千亩晋阳湖，拥天下入怀。新派仕绅主场，170-220㎡湖景四房，享50-150万豪装，领袖全城【世茂御龙湾】68222222【世茂】
yl,0,normal,yl
310元优惠卷的诱惑你能拒绝吗？ www.m18.com/sp/1840 现在购买更有最高180元返利等你拿！【M18．com】,1,G,310元优惠券的诱惑你能拒绝吗？ www.m18.com/sp/1840 现在购买更有最高180元返利等你拿！【M18．com】
Ultimately tor motive tui achieve korli.,0,normal,Ultimately tor motive tui achieve korli.
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,normal,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,0,normal,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
yes baby! I need to stretch open your pussy!,0,normal,yes baby! I need to stretch open your pussy!
【光云】亲，您在我们店买的东西很赞吧，记得来我们店铺给个好评哦，现在好评满分截图的话可以拿到2-3元返现感谢了，祝亲生活愉快~,0,normal,【光云】亲，您在我们店买的东西很赞吧，记得来我们店铺给个好评哦，现在好评满分截图的话可以拿到2-3元返现感谢了，祝亲生活愉快~
【招商证券】财富收盘版：指数盘中震荡后放量中阳收复昨日失地，市场继续保持强势格局，前期建议券商、高铁、百货等优质品种可继续持股待涨。仅供参考,0,normal,【招商证券】财富收盘版：指数盘中震荡后放量中阳收复昨日失地，市场继续保持强势格局，前期建议券商、高铁、百货等优质品种可继续持股待涨。仅供参考
张豪:明天下午3点，咱们班和会电3在篮球场打。两男三女。犬家都去看看，也需要有人轮换。会不会不重要，太家玩的高兴就好。友谊第一,1,G,张豪:明天下午3点，咱们班和会电3在篮球场打。两男三女。大家都去看看，也需要有人轮换。会不会不重要，大家玩的高兴就好。友谊第一
中考前29天全托最后冲刺，名师最后全面精补漏洞，押题训练，打造考试积极心态，树立自信，每夫提20分必胜中考。询80953793【学成】,1,G,中考前29天全托最后冲刺，名师最后全面精补漏洞，押题训练，打造考试积极心态，树立自信，每天提20分必胜中考。询80953793【学成】
"Yeah, where's your class at?",0,normal,"Yeah, where's your class at?"
No did you check? I got his detailed message now,0,normal,No did you check? I got his detailed message now
[PUSH]河南南阳-18776022592用⼾:您的好友发来新拍相 片，请,1,G,[PUSH]河南南阳-18776022592用户:您的好友发来新拍相 片，请
您账户4371于12月10日入账报销款，人民币41588.17。欧洲26国5年畅游多次 e95555.cn/fg。[招商银行],0,normal,您账户4371于12月10日入账报销款，人民币41588.17。欧洲26国5年畅游多次 e95555.cn/fg。[招商银行]
套餐门限提醒：截至14年09月19日16时57分，您套餐内包含的国内长市漫合一通话时长已使用320分钟，剩余30分钟。以上内容供参考，具体以月结账单为准。如需退订该提醒服务，请发送QXTCMX至10086。中国移动,0,normal,套餐门限提醒：截至14年09月19日16时57分，您套餐内包含的国内长市漫合一通话时长已使用320分钟，剩余30分钟。以上内容供参考，具体以月结账单为准。如需退订该提醒服务，请发送QXTCMX至10086。中国移动
How much is blackberry bold2 in nigeria.,0,normal,How much is blackberry bold2 in nigeria.
亲爱的阿姨帮会员，12月05日 家庭保洁已完成，消费 50.00 元，会员卡余额 300.00 元。请评价阿姨的服务。【阿姨帮】,0,normal,亲爱的阿姨帮会员，12月05日 家庭保洁已完成，消费 50.00 元，会员卡余额 300.00 元。请评价阿姨的服务。【阿姨帮】
【招商证券】新股发行提示：11月17日发行732166福达股份，申购价格5.80元/股，申购上限1.3万股。仅供参考，以沪深交易所公告为准。回复Q退订。,0,normal,【招商证券】新股发行提示：11月17日发行732166福达股份，申购价格5.80元/股，申购上限1.3万股。仅供参考，以沪深交易所公告为准。回复Q退订。
"【中国国航】尊敬的陈广大先生，您的凤凰知音""里程账户已升级为12位(卡号CA006217461495），原卡可继续持有和使用。您2014年12月24日乘坐的上海 - 北京航班(CA1856(CA1856)，V舱），共累积543公里",0,normal,"【中国国航】尊敬的陈广大先生，您的凤凰知音""里程账户已升级为12位(卡号CA006217461495），原卡可继续持有和使用。您2014年12月24日乘坐的上海 - 北京航班(CA1856(CA1856)，V舱），共累积543公里"
您的机票订单21904045029（03-28，北京-大连）已被受理，卖家最晚将在14:14前为您出票。淘宝旅行保障100%出票，出票成功后短信通知您。客户端下载： lv.taobao.com【天猫】,0,normal,您的机票订单21904045029（03-28，北京-大连）已被受理，卖家最晚将在14:14前为您出票。淘宝旅行保障100%出票，出票成功后短信通知您。客户端下载： lv.taobao.com【天猫】
Well welp is sort of a semiobscure internet thing,0,normal,Well welp is sort of a semiobscure internet thing
和游戏，炎热的夏天给你带来无穷欢乐！缤纷游戏任你选择、想玩什么你说了算、话费支付一键到位、精品游戏劲爽体验、有玩有送心情嗨翻！本月底前下载登陆下月即可获赠5元游戏点卡，还有机会抽取500元当当卡哦！下载和游戏→http://t.cn/RPyiV6l,0,normal,和游戏，炎热的夏天给你带来无穷欢乐！缤纷游戏任你选择、想玩什么你说了算、话费支付一键到位、精品游戏劲爽体验、有玩有送心情嗨翻！本月底前下载登陆下月即可获赠5元游戏点卡，还有机会抽取500元当当卡哦！下载和游戏→http://t.cn/RPyiV6l
"親愛的陳慧蓉:您購買小三美日商品已送新民享門市,編號:78780820請收到簡訊中午過後五曰內取件.客服:0920-930900",1,G,"親愛的陳慧蓉:您購買小三美日商品已送新民享門市,編號:78780820請收到簡訊中午過後五日內取件.客服:0920-930900"
I'm fine. Hope you are good. Do take care.,0,normal,I'm fine. Hope you are good. Do take care.
麓谷商务中心的学区美宅【桔洲印象】4280元/?起，享麦德龙超市，中信湘雅医院，地铁2、6号线，更有师大/明德双各校88819999,1,G,麓谷商务中心的学区美宅【桔洲印象】4280元/?起，享麦德龙超市，中信湘雅医院，地铁2、6号线，更有师大/明德双名校88819999
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",0,normal," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
我行保本产品最同业最高！夜市专场33天3.9，今晚8点开抢！更有专属产品91夭4.1需预约，详询【平安刘明月82430950】,1,G,我行保本产品最同业最高！夜市专场33天3.9，今晚8点开抢！更有专属产品91天4.1需预约，详询【平安刘明月82430950】
尊敬的会员您好！黄金白银连续暴跌，最近3夫盈利翻倍，加VIP交流解套群244588257关注，如不在电脑旁，回复您的qq号即可[金投网],1,G,尊敬的会员您好！黄金白银连续暴跌，最近3天盈利翻倍，加VIP交流解套群244588257关注，如不在电脑旁，回复您的qq号即可[金投网]
【京东】您于2014-10-23 12:20:02接受订单2587207963在线客服服务，邀请您评价服务体验，问卷发至jiang_yb1979@hotmail.com，感谢您的参与,0,normal,【京东】您于2014-10-23 12:20:02接受订单2587207963在线客服服务，邀请您评价服务体验，问卷发至jiang_yb1979@hotmail.com，感谢您的参与
Oh god..taken the teeth?is it paining,0,normal,Oh god..taken the teeth?is it paining
I am on the way to ur home,0,normal,I am on the way to ur home
"张宇-风险管（543044881)希望加您为飞信好友:张宇 -搜索 风险运营""同意回复Y",0,normal,"张宇-风险管（543044881)希望加您为飞信好友:张宇 -搜索 风险运营""同意回复Y"
【3G应用小贴士】超级豆神马的不需要，有木有！黄金、NewPad等大奖，要不要！！参加“江苏电信 翼起来掼蛋”争霸赛成绩不理想？现在练手还来得及！【掼蛋】免废参加下载地址：http://202.102.41.22/ds.jsp?ms=b10009536b10001765a100656,1,G,【3G应用小贴士】超级豆神马的不需要，有木有！黄金、NewPad等大奖，要不要！！参加“江苏电信 翼起来掼蛋”争霸赛成绩不理想？现在练手还来得及！【掼蛋】免费参加下载地址：http://202.102.41.22/ds.jsp?ms=b10009536b10001765a100656
Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,0,normal,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
