text,label,attack_type,original_text
iHi fu rl ookni  4saucy adyitm euf nwiv ubtsy mrairdew oam nmA ferea ll nxet ewe kCha tnwo  2sort tiem 00999762492J ANNIxE xCalslå1£/mniMobmsorLeKPBOO1X77H5PF1L,1,I,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
Wherre's my boytoy ? :-(,0,normal,Wherre's my boytoy ? :-(
[PUS]H山西朔-州19398186904/用戶:统系存在洞漏3()需!立,1,I,[PUSH]山西朔州-13998168940用/戶:系统存在漏洞(3)!需立
您月本已用套餐外上网费1.000元1(元/M)申，升请套级餐可立即享受于低.02/元M的低价回。SJGRPS查X询套餐介绍。,1,I,您本月已用套餐外上网费10.00元(1元/M)，申请升级套餐可立即享受低于0.2元/M的低价。回JSGPRSX查询套餐介绍。
据说在老公遇到困难时，欧美女人会说：亲爱的，你已经做得很好了！日本女人会说：某某君，请努力！中国女人会说：你看人家谁谁，你怎么这么笨！,0,normal,据说在老公遇到困难时，欧美女人会说：亲爱的，你已经做得很好了！日本女人会说：某某君，请努力！中国女人会说：你看人家谁谁，你怎么这么笨！
您好！截至到2014年07月04日17时23分，您已使用数据流量36.04MB，其中套餐外流量36.04MB，已产生套餐外流量费用0.0元，套餐内剩余流量20.0MB，感谢您使用流量查询服务。中国移动,0,normal,您好！截至到2014年07月04日17时23分，您已使用数据流量36.04MB，其中套餐外流量36.04MB，已产生套餐外流量费用0.0元，套餐内剩余流量20.0MB，感谢您使用流量查询服务。中国移动
双十一狂欢倒计时！库存有限，开启电脑，提前充值，相约0点，抢货快又省 http://fedxl.tmall.com <fed旗舰店>,0,normal,双十一狂欢倒计时！库存有限，开启电脑，提前充值，相约0点，抢货快又省 http://fedxl.tmall.com <fed旗舰店>
"Nah can't help you there, I've never had an iphone",0,normal,"Nah can't help you there, I've never had an iphone"
"您尾号7544卡14日14:06ATM支出2,000元，手续费2元。【工商银行】",0,normal,"您尾号7544卡14日14:06ATM支出2,000元，手续费2元。【工商银行】"
【minicute米乔专卖店】亲爱的陈广大，感谢购买我们的商品！我们将随时跟踪播报状态，方便您随时了解。亲如果有问题可以联系客服哦。,0,normal,【minicute米乔专卖店】亲爱的陈广大，感谢购买我们的商品！我们将随时跟踪播报状态，方便您随时了解。亲如果有问题可以联系客服哦。
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,normal,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
"您尾号7544卡19日15:23网上银行支出(消费)1,544元。【工商银行】",0,normal,"您尾号7544卡19日15:23网上银行支出(消费)1,544元。【工商银行】"
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",0,normal,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
