text,label,attack_type,original_text
Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0,normal,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
抵制假羊肉良心做企业.翠峰苑羊肉-还是那个味.即日起所售羊肉假一罚万.更有蔬菜白送活动.敬请到店品鉴.举报热线４００６００１７０【翠峰苑】,1,E,抵制假羊肉良心做企业.翠峰苑羊肉-还是那个味.即日起所售羊肉假一罚万.更有蔬菜免费活动.敬请到店品鉴.举报热线４００６００１７０【翠峰苑】
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",0,normal,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
戈:你那边试试【发自飞信】,0,normal,戈:你那边试试【发自飞信】
房产投资良机尽在花园城市新加坡，可借钱7成，利率低于2.0，购房无限制，精装低税永久地契，考察团咨询4006531800,1,E,房产投资良机尽在花园城市新加坡，可贷款7成，利率低于2.0，购房无限制，精装低税永久地契，考察团咨询4006531800
What's up. Do you want me to come online?,0,normal,What's up. Do you want me to come online?
"sorry brah, just finished the last of my exams, what up",0,normal,"sorry brah, just finished the last of my exams, what up"
Qqqq,0,normal,Qqqq
"专业复古磁砖品牌【长谷磁砖】20周年庆，5月25-26日南京首届团购盛会火热报名中,盛会抢购进行中,全场所有产品直降40，错过这次，再等一年！电话：18013932385万达金陵国际家居二楼,更多详请访问：http://b1426115.xici.net【长谷磁砖】",1,E,"专业复古磁砖品牌【长谷磁砖】20周年庆，5月25-26日南京首届团购盛会火热报名中,盛会抢购进行中,全场所有产品直降40，错过这次，再等一年！电话：18013932385万达金陵国际家居二楼,更多详请点击：http://b1426115.xici.net【长谷磁砖】"
"我公司借钱500万起，可先放款，并诚招地区代办。缺钱找中金,满足多种用途，轻松解燃眉之急。联系电话:400-684-7772.",1,E,"我公司贷款500万起，可先放款，并诚招地区代办。缺钱找中金,满足多种用途，轻松解燃眉之急。联系电话:400-684-7772."
政务核心，纯法式别墅 【柏庄香府】VIP会员火爆操作，最高享20万钜惠！258-368㎡城央逸墅即将公开！5999666【世纪众凯】,1,E,政务核心，纯法式别墅 【柏庄香府】VIP会员火爆办理，最高享20万钜惠！258-368㎡城央逸墅即将公开！5999666【世纪众凯】
"路痴不可怕，就怕没地图，高德地图，精确定位，快速导航，限时抢一切路痴，找银行、找饭店，so easy,一键在手，走遍全球，下载地址：  http://ah-3g.cn/cp.jsp?id=6427",1,E,"路痴不可怕，就怕没地图，高德地图，精确定位，快速导航，秒杀一切路痴，找银行、找饭店，so easy,一键在手，走遍全球，下载地址：  http://ah-3g.cn/cp.jsp?id=6427"
[沃立方 南方会]即日至5月26日，购Bata春夏商品一件6折、两件5折；特价商品折上85折。地址：广州天河城、广州名店专卖店。详情请打开  http://zm.17wo.cn/z/ZJNzMj,1,E,[沃立方 南方会]即日至5月26日，购Bata春夏商品一件6折、两件5折；特价商品折上85折。地址：广州天河城、广州名店专卖店。详情请点击  http://zm.17wo.cn/z/ZJNzMj
手机读报时尚新体验！“沃看报纸”手机报，读报纸，阅新闻，免流量费零元体验啦！ http://uvu.cc/71f7,1,E,手机读报时尚新体验！“沃看报纸”手机报，读报纸，阅新闻，免流量费免费体验啦！ http://uvu.cc/71f7
"Awesome, be there in a minute",0,normal,"Awesome, be there in a minute"
【招商证券】新股发行提示：8月13日发行732099长白山，申购价格4.54元/股，申购上限2.5万股。仅供参考，以沪深交易所公告为准。,0,normal,【招商证券】新股发行提示：8月13日发行732099长白山，申购价格4.54元/股，申购上限2.5万股。仅供参考，以沪深交易所公告为准。
九龙仓·世纪华府滨河双景观2#楼升级新品载誉加推，存2万抵4万，104-129平方米名额有限发售，火爆预约排序中61768888【富阳日报传媒】,1,E,九龙仓·世纪华府滨河双景观2#楼升级新品载誉加推，存2万抵4万，104-129平方米限量发售，火爆预约排序中61768888【富阳日报传媒】
圣诞节到了，龙源经理《徐子涵》携全体员工期盼与好朋友共同{平安，圣诞，狂欢}一起体验圣诞的激情，并感受我们的热情！祝你和家人朋友圣诞节快乐！,0,normal,圣诞节到了，龙源经理《徐子涵》携全体员工期盼与好朋友共同{平安，圣诞，狂欢}一起体验圣诞的激情，并感受我们的热情！祝你和家人朋友圣诞节快乐！
直击股市：大盘放量强势反弹，炒股赚钱正当时；现在加入实盘指导Q群：283793508，盘前潜力股推荐，盘中直击市场热点，零元指导【益盟操盘手】,1,E,直击股市：大盘放量强势反弹，炒股赚钱正当时；现在加入实盘指导Q群：283793508，盘前潜力股推荐，盘中直击市场热点，免费指导【益盟操盘手】
查询余额服务：您总账户余额为251.61元。详情为：主账户余额251.61元，副账户余额0.00元。感谢您的使用，中国移动。,0,normal,查询余额服务：您总账户余额为251.61元。详情为：主账户余额251.61元，副账户余额0.00元。感谢您的使用，中国移动。
自考专科、本科，多个靠谱，保证毕业，入学签协议，不过全额退费！国家教育部永久查询，后期补录预报从速。详询18710185476葛老师,1,E,自考专科、本科，多个专业，保证毕业，入学签协议，不过全额退费！国家教育部永久查询，后期补录预报从速。详询18710185476葛老师
晋城联通“沃”爱斗地主大赛火热进行中，访问客户端中游戏大厅-晋城联通每日大奖赛-报名，准时参加比赛赢取奖品吧！ 详询18635601326,1,E,晋城联通“沃”爱斗地主大赛火热进行中，点击客户端中游戏大厅-晋城联通每日大奖赛-报名，准时参加比赛赢取奖品吧！ 详询18635601326
移动4G来啦！网友惊呼手机变“飞机”咯！哪里可以白送体验？到底有好快喃？详情见http://t.cn/zHP9Nq0,1,E,移动4G来啦！网友惊呼手机变“飞机”咯！哪里可以免费体验？到底有好快喃？详情见http://t.cn/zHP9Nq0
Sat right? Okay thanks... ,0,normal,Sat right? Okay thanks... 
杭州无线城市老用户您好！杭州移动特赠送你超值大礼包一份！点击拿到 http://wap.zjicity.com/wxcs/4vTdim,1,E,杭州无线城市老用户您好！杭州移动特赠送你超值大礼包一份！点击领取 http://wap.zjicity.com/wxcs/4vTdim
移动充值更实惠！5月盐城移动充值送话费系列活动，充100送100，充200送200，充300送300，充500送500，充1000送1000，充2000送2000，充3000送3000，充4000送4000，话费越充越值。代办地点：龙冈移动营业厅（邮局对面），咨询电话：13401720486,1,E,移动充值更实惠！5月盐城移动充值送话费系列活动，充100送100，充200送200，充300送300，充500送500，充1000送1000，充2000送2000，充3000送3000，充4000送4000，话费越充越值。办理地点：龙冈移动营业厅（邮局对面），咨询电话：13401720486
Ok lor Ì_ reaching then message me.,0,normal,Ok lor Ì_ reaching then message me.
您好！截至到2014年11月23日19时37分，您定制的（1）20元终端特惠套餐包，数据流量本地剩余0.0MB，（2）40元数据流量套餐（4G），数据流量剩余611.94MB，（3）58元300分钟语音套餐（4G），语音剩余120分钟，（4）10元200条短信套餐（4G），短信剩余151条，感谢您的使用。查流量、查话费、办业务、优惠早知道！就用“北京移动”手机客户端。点击下载： http://mobilebj.cn/?c=113/  中国移动,0,normal,您好！截至到2014年11月23日19时37分，您定制的（1）20元终端特惠套餐包，数据流量本地剩余0.0MB，（2）40元数据流量套餐（4G），数据流量剩余611.94MB，（3）58元300分钟语音套餐（4G），语音剩余120分钟，（4）10元200条短信套餐（4G），短信剩余151条，感谢您的使用。查流量、查话费、办业务、优惠早知道！就用“北京移动”手机客户端。点击下载： http://mobilebj.cn/?c=113/  中国移动
（2/2）或进入http://fancy.189.cn/portal/bill/1591485/1962874 查看,1,E,（2/2）或点击http://fancy.189.cn/portal/bill/1591485/1962874 查看
2013公路实验检测考、试 无、风险，保零基础高分过考+Q941243251真题答、案后付、费【在线资深助考】,1,E,2013公路实验检测考、试 无、风险，保零基础高分过考+Q941243251真题答、案后付、费【在线专业助考】
开化野生鱼馆隆重入驻横店！本店所有鱼来自钱江源头开化。本月所有菜价8.5折实惠欢迎光临。地址康庄南街252号电话86755577【开化鱼馆】,1,E,开化野生鱼馆隆重入驻横店！本店所有鱼来自钱江源头开化。本月所有菜价8.5折优惠欢迎光临。地址康庄南街252号电话86755577【开化鱼馆】
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,0,normal,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
