text,label,attack_type,original_text
R u sure they'll understand that! Wine * good idea just had a slurp!,0,normal,R u sure they'll understand that! Wine * good idea just had a slurp!
【新秀丽背包限时送】您本期账单已出，立即回复#ZDFQ将本期账单的部分新增消费9212.75元分10期还，每期本金921.28元，每期手续费64.49元，即可获价值880元的新秀丽时尚双肩背包，点 t.cn/RP43kLI 了解并领取[招商银行],0,normal,【新秀丽背包限时送】您本期账单已出，立即回复#ZDFQ将本期账单的部分新增消费9212.75元分10期还，每期本金921.28元，每期手续费64.49元，即可获价值880元的新秀丽时尚双肩背包，点 t.cn/RP43kLI 了解并领取[招商银行]
"Thank you, wіnner nоtifіed Ьy sms. Gоod Luck! Nо futurе mаrketіng rерly SТOР tо 84122 сuѕtомer sеrvісеѕ 08450542832",1,C,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
林龍賢先生您好：現用玉山信用卡繳綜所稅免手續費，再享3期0利率(限稅款100萬以下適用)還可參加黃金、іРadmіni抽獎機會!詳見本行網站。分期零手續費零總費用年百分率，謹慎理財信用無價循環利率5.88~19.71%,1,C,林龍賢先生您好：現用玉山信用卡繳綜所稅免手續費，再享3期0利率(限稅款100萬以下適用)還可參加黃金、iPadmini抽獎機會!詳見本行網站。分期零手續費零總費用年百分率，謹慎理財信用無價循環利率5.88~19.71%
"【百度】【百度外卖】尊敬的陈广大先生,您的周记桂林米粉（蓝堡国际店）外卖订单已被确认,请耐心等待配送。本次外卖服务由周记桂林米粉（蓝堡国际店）提供,餐厅电话:010-65831768",0,normal,"【百度】【百度外卖】尊敬的陈广大先生,您的周记桂林米粉（蓝堡国际店）外卖订单已被确认,请耐心等待配送。本次外卖服务由周记桂林米粉（蓝堡国际店）提供,餐厅电话:010-65831768"
(7249)嘀嘀打车验证码 .【嘀嘀打车】,0,normal,(7249)嘀嘀打车验证码 .【嘀嘀打车】
Ok lor. I'm in town now lei.,0,normal,Ok lor. I'm in town now lei.
【顺丰优选】双十一提前来了！APP抢券风暴来袭，登录APP领299减100券！手里有粮，心里不慌！ t.cn/8se3C0Y 回TD退订,0,normal,【顺丰优选】双十一提前来了！APP抢券风暴来袭，登录APP领299减100券！手里有粮，心里不慌！ t.cn/8se3C0Y 回TD退订
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",0,normal,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
您尾号7544卡31日03:39工商银行收入125.42元。【工商银行】,0,normal,您尾号7544卡31日03:39工商银行收入125.42元。【工商银行】
I like you peoples very much:) but am very shy pa.,0,normal,I like you peoples very much:) but am very shy pa.
[139邮箱]邮件：挑战福分铁人三项赛，赚福分兑优惠好礼，抽三星手机、话费大奖！回复А或登录 mail.10086.сn 查看活动,1,C,[139邮箱]邮件：挑战福分铁人三项赛，赚福分兑优惠好礼，抽三星手机、话费大奖！回复A或登录 mail.10086.cn 查看活动
