text,label,attack_type,original_text
第24座城筑梦阳，“万科城媒体品鉴会”4月27日10:30，喜来酒店隆重发布，诚邀主参加，报名前20名，详询8506888。【万 】,1,A,第24座万科城筑梦贵阳，“万科城媒体品鉴会”4月27日10:30，喜来登酒店隆重发布，诚邀业主参加，电话报名限前20名，详询8506888。【万 科】
游戏包送大礼，iPad3、翼话费周周奖、月月送，来拿！http://game.189.cn/hd/yxbslj?PUSHID=4256070135&P=18979043197,1,A,购游戏包送大礼，iPad3、天翼话费周周奖、月月送，等你来拿！http://game.189.cn/hd/yxbslj?PUSHID=4256070135&P=18979043197
七层电*梯洋万购，提抢占核中央尚务区，大城市综合体项目，名校为邻，实稀缺板结构，一梯户透型68136222【龙世家】,1,A,七层电*梯洋房四万购，提前抢占核心中央尚务区，大型城市综合体项目，名校为邻，实景稀缺板式结构，一梯两户通透型68136222【龙吟世家】
今天杭州发一件很的事情！场路近一个小头被碾碎，情点击http://wap.189hz.com/r/mYfAJz,1,A,今天杭州发生一件很惨的事情！机场路附近一个小孩头被碾碎，详情点击http://wap.189hz.com/r/mYfAJz
买黄金不如买商铺！滨江商务区绝版地段铺首发！【武汉606】100-600平临品牌耀世登场！仅3席！4006633527,1,A,买黄金不如买商铺！滨江商务区绝版地段独栋商铺首发！【绿地武汉606】100-600平临江品牌展厅耀世登场！仅3席！4006633527
盘点公交咸手三特征 网支猛[腾讯]-国移动冲浪助:Url:go.10086.cn/np/mga/lUkRF,1,A,盘点公交咸猪手三特征 网友支猛招[腾讯]-中国移动冲浪助手:Url:go.10086.cn/np/mga/lUkRF
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",1,A,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870."
新品别墅升级上，140起，150-180平，户户通温泉，不限，赠庭、下室、大台，认筹2万10万，4000112656[房讯通],1,A,新品别墅升级上市，140万起，150-180平，户户通温泉，不限购，赠庭院、地下室、大露台，认筹2万抵10万，4000112656[房讯通]
联通5.17网23日结束！苹5、三NOTE2、千元智能机手机0元购，预存话费5折起，流、费赠不停。情延风采网、2514489,1,A,联通5.17网购节23日结束！苹果5、三星NOTE2、千元智能机手机0元购，预存话费5折起，流量、话费赠不停。详情延边风采网、2514489
中海御鑫阁，四环铁旁，欧景观园林，英伦光薄板，36-45㎡精装小户型，总价准现，将火爆售，邀莅临。详询：66256666,1,A,中海御鑫阁，西四环地铁旁，欧式景观园林，英伦阳光薄板，36-45㎡精装小户型，低总价准现房，即将火爆发售，诚邀莅临。详询：66256666
