text,label
[ http://n.sdo.com/Zvayzj7Y ]快来试试【定时短信】吧！确保5月20日13点14分将你的爱准点送达！（我爱你一生一世）,1
"您个人信用卡03月账单￥5,456.77，$0.00，到期还款日03月28日，点 t.cn/zTWP4j4 查明细办分期[招商银行]",0
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,1
"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",0
想永保年轻漂亮吗？本院运用高科技不开刀，不手术，一次祛除斑，痘，皱纹，眼袋，提升下垂脸，新增女性私密养护。咨询电话84477501,1
尊敬的会员您好！黄金白银连续暴跌，最近3天盈利翻倍，加VIP交流解套群224316471关注，如不在电脑旁，回复您的qq号即可[金投网],1
Today am going to college so am not able to atten the class.,0
手机可以上搜房了哦！轻松三步走1. 手机输入wap.soufun.com2.城市选择无锡3.点击家居。掌上随时浏览装修案例！【无锡搜房家居】,1
【同程旅游】同程：您预订的2014年05月24日杭州西湖景区的订单(西湖必游景点-灵隐【飞来峰】景区/2)订单确认号Z28667351已支付成功，取票点：灵隐寺正大门凭二维码、短信辅助码、二代身份证均可入园。点击http://m.17u.cn/m/1/250 下载客户端随时订景区。 拒收短信回复TD,0
友好提醒：尊敬的动感地带客户，您目前的话费为62.07元，允许话费透支额为0.00元，预存款余额为11.63元，为保证您的通信畅通，请您及时缴费，以免停机给您带来不便。拨打10086-1或登录www.10086.cn即可轻松便捷交话费。点击以下链接即可查询您的实时话费和余额：http://wap.ln.10086.cn/nologin?type=1302,1
Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,0
半岛四季即将入住交房Ⅱ期国际生活飨宴：龙凤大街、吕梁大医院、西客站，完美生活圈每平3300元2房14万3房24万3393800半岛四季【A】,1
美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgo/Nxbin,1
"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",0
Howz pain?hope u r fine..,0
Nope thats fine. I might have a nap tho! ,0
Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,0
Meeting u is my work. . . Tel me when shall i do my work tomorrow,0
移动五月大特惠，手机大团购，价格优惠还送话费，三星S7568：1000元；三星9268：2650元；三星I9228：3350元；三星N7108：4409元；三星I9308：3650元；HTC329T：1450元；HTC8X(C620t )：2700元；诺基亚920T：3563元；摩托罗拉MT788：1900元。如需办理联系移动程经理13576108690,1
你好，我以前和你联系过的，新到奔驰，宝马奥迪，路虎，大众等3到50万欢迎新老客户来电咨询13823302755李生【车市】,1
Have you bookedthe hut? And also your time off? How are you by the way?,0
美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/ZIEiQ,1
买三居送一居！第二机场核心区，85-115平瞰景洋房，4号线无缝接驳，首付19万起。致电享万元优惠，免费领水木年华门票4000119225,1
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,1
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",1
"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",0
法官揭三大带薪年假侵权之谜[新华]-中国移动冲浪助手:http://go.10086.cn/nd/lCk/cJctr,1
【铁路客服】陈先生您的07月13日D43次01车13D号车票退票成功。流水号2E277933181001001105921983。,0
WOT U WANNA DO THEN MISSY?,0
您尾号7544卡29日20:09网上银行支出85元。【工商银行】,0
【您的Gap】11.11仅此1天，Gap与Old Navy天猫旗舰店全场低至3折，跨店购买千元免单等你赢！Gap.tmall.com,0
修改密码#13811168809#JYB1109e,0
I have gone into get info bt dont know what to do,0
【滴滴打车】尊敬的滴滴用户，您的专车代金券还有1天就要过期了，出行首选滴滴专车，马上尊享体验！,0
尊敬的王冰女士：即日起，邀请满3位好友体验现金宝充话费（97折，全网最低）、还信用卡（跨行实时免费）、快速取现（瞬时到账，免费）3功能任意一项1次，即可有机会免费获赠Ipadmini一台！登录www.99fund.com即可参与【汇添富】,1
"This is one of the days you have a billion classes, right?",0
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",1
亲，您遇上电信日大促啦，5月16日-5月18日电信网上营业厅充值缴费可直接享受9.5折！全网最低，不容错过！详询   http://gd.189.cn,1
湖北联通年中特惠，2013最热手游《我叫MT》免流量费下载，纯正的魔兽题材，以Q版超萌的形式表现，丰富的卡牌人物任您选择，给你带来全新的游戏体验。       http://hao.hb165.com/i/1/Gf2g6v6N,1
本地主叫通话费：26.98元,0
No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,0
5.21当当儿童节：百万种精美童书/玩具/童装/母婴5折封顶，婴童全场满129再返500！关爱童年，把最好的礼物送给身边的孩子！[当当网],1
I keep ten rs in my shelf:) buy two egg.,0
Anything lar...,0
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",1
"双色球 第2014098期开奖号码:02,13,17,20,29,31:07。双色球自选回“S#投注号码*倍数”（投注号码为6个红球1个蓝球，多注用#隔开，最大为5注），回复HS获取更多双色球帮助信息。其他彩种帮助信息回复“H+彩种代码”，如回HD获取大乐透帮助信息。【中国移动和包彩票】",0
"Awesome, text me when you're restocked",0
"Sorry my roommates took forever, it ok if I come by now?",0
I think its far more than that but find out. Check google maps for a place from your dorm.,0
温馨提示;晴 11-28度.民生医院可视无痛人流专科优惠活动月进行中。欢迎咨询电话;2199999 QQ:648251757地址;南内环桥东,1
瀚林·美居携手法国雅高酒店集团打造二环法式文化尊邸，川师人文板块1.66超 低容积率，6-11层低迷华宅，一梯两户纯板式通透洋房，详询84411666【富 房不动 产】,1
【京东】您于10月24日12时14分消费京券100元。有疑问请致电400-606-5500转7,0
"您的订单1034086297于21日上午送，电话：15223199534，领5元券""http://url.cn/FWVtwt""【易迅网】",1
I think if he rule tamilnadu..then its very tough for our people.,0
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,0
新世界太华公寓152米双南两局670万 业主诚心出售看房随时  满五年唯一 联系  电话：13911183679监督电话：65951688-1888【中原地产】,1
