text,label,attack_type,original_text
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,normal,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
Ok.ok ok..then..whats ur todays plan,0,normal,Ok.ok ok..then..whats ur todays plan
I am not having her number sir,0,normal,I am not having her number sir
Dear we are going to our rubber place,0,normal,Dear we are going to our rubber place
您的机票订单21904045029（03-28，北京-大连）已被受理，卖家最晚将在14:14前为您出票。淘宝旅行保障100%出票，出票成功后短信通知您。客户端下载： lv.taobao.com【天猫】,0,normal,您的机票订单21904045029（03-28，北京-大连）已被受理，卖家最晚将在14:14前为您出票。淘宝旅行保障100%出票，出票成功后短信通知您。客户端下载： lv.taobao.com【天猫】
行q来l，操p手z新g端s盘z导，jQ群：322302896，p前t示q力g，盘z实p指d；把w实s热d，学c股f法，m费t验【y盟c盘s】,1,M,行情来了，操盘手最新高端实盘指导，加Q群：322302896，盘前提示潜力股，盘中实盘指导；把握实时热点，学炒股方法，免费体验【益盟操盘手】
【阿姨帮】亲爱的阿姨帮会员，11月21日 家庭保洁已完成，消费 50.00 元，会员卡余额 450.00 元。请评价阿姨的服务。,0,normal,【阿姨帮】亲爱的阿姨帮会员，11月21日 家庭保洁已完成，消费 50.00 元，会员卡余额 450.00 元。请评价阿姨的服务。
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",0,normal,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,0,normal,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
i am going to bed now prin,0,normal,i am going to bed now prin
购250~p米x400~平m；大t首x法s叠s社q；低m社q贵z生h；前t后y私j电t，双c位z送；d场y礼。d话：2078888【y澜w】,1,M,购250~平米享400~平米；大同首席法式叠墅社区；低密社区贵族生活；前庭后院私家电梯，双车位赠送；到场有礼。电话：2078888【御澜湾】
Ok i shall talk to him,0,normal,Ok i shall talk to him
4.8-22“国美在线” 每天前1000名首次在信用卡、储蓄卡页签内，通过“银联在线支付”完成绑定银行卡并支付的客户，赢5元券。【中国银联】,0,normal,4.8-22“国美在线” 每天前1000名首次在信用卡、储蓄卡页签内，通过“银联在线支付”完成绑定银行卡并支付的客户，赢5元券。【中国银联】
【阿里旅行·去啊】1212阿里旅行客户端12万张特价机票1元起，含春节假期，提前攻略 http://tb.cn/QJ145Sy,0,normal,【阿里旅行·去啊】1212阿里旅行客户端12万张特价机票1元起，含春节假期，提前攻略 http://tb.cn/QJ145Sy
"尊j的j团y户:w回k您z期y来d移d公s的z持y信l,扩z您d专x优h范w,特t出g集t用h:缴999y送p板d脑+s核y动z能s机+y动h费,q速l系y动k户j理：w宏j(电h:13608288180)参y. 祝g作s心！",1,M,"尊敬的集团用户:为回馈您长期以来对移动公司的支持与信赖,扩展您的专享优惠范围,特推出贵集团用户:缴999元送平板电脑+双核移动智能手机+移动话费,请速联系移动客户经理：王宏建(电话:13608288180)参与. 祝工作顺心！"
极d震h！新r电d车20AHh华k仅2199y换g，旧s机d脑j电y律700y，限20 -22k埠d站d面13667102768【p天t讯】,1,M,极度震撼！新日电动车20AH豪华款仅2199元换购，旧手机电脑家电一律700元，限20 -22孔埠电站对面13667102768【普天通讯】
You didnt complete your gist oh.,0,normal,You didnt complete your gist oh.
Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,0,normal,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
