text,label,attack_type,original_text
Hi i﻿f ur ​﻿‍l﻿ookin 4 saucy﻿ dayt‍ime fu​n wiv​ bu​st‌y m‍a‌​﻿rried ​wo‌man Am ‍f​ree​ ‍a﻿l‌﻿l next week Chat no‌w﻿‍ ​2 sort‍ time 0909972642‍9 JAN﻿﻿‌I​﻿NEx‌​x C﻿alls‍å£​1/minMob‍smor‌e‌LKP‌‌OB‌OX177﻿HP51FL‍,1,D,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
Wherre's my boytoy ? :-(,0,normal,Wherre's my boytoy ? :-(
[PUS﻿H]山‍西朔州-13998168​940用﻿﻿/戶:‌‍​﻿系​统存在漏洞(3)!需﻿立,1,D,[PUSH]山西朔州-13998168940用/戶:系统存在漏洞(3)!需立
您本‍月已‌用套餐​外上网费10.00元﻿(1‍元/​‍M)，申‌​请升级套餐可立‍即享​受低于0.2‍元/M​的低价。‍回J‌﻿‍SGPRSX查询套﻿餐介绍。,1,D,您本月已用套餐外上网费10.00元(1元/M)，申请升级套餐可立即享受低于0.2元/M的低价。回JSGPRSX查询套餐介绍。
据说在老公遇到困难时，欧美女人会说：亲爱的，你已经做得很好了！日本女人会说：某某君，请努力！中国女人会说：你看人家谁谁，你怎么这么笨！,0,normal,据说在老公遇到困难时，欧美女人会说：亲爱的，你已经做得很好了！日本女人会说：某某君，请努力！中国女人会说：你看人家谁谁，你怎么这么笨！
您好！截至到2014年07月04日17时23分，您已使用数据流量36.04MB，其中套餐外流量36.04MB，已产生套餐外流量费用0.0元，套餐内剩余流量20.0MB，感谢您使用流量查询服务。中国移动,0,normal,您好！截至到2014年07月04日17时23分，您已使用数据流量36.04MB，其中套餐外流量36.04MB，已产生套餐外流量费用0.0元，套餐内剩余流量20.0MB，感谢您使用流量查询服务。中国移动
双十一狂欢倒计时！库存有限，开启电脑，提前充值，相约0点，抢货快又省 http://fedxl.tmall.com <fed旗舰店>,0,normal,双十一狂欢倒计时！库存有限，开启电脑，提前充值，相约0点，抢货快又省 http://fedxl.tmall.com <fed旗舰店>
"Nah can't help you there, I've never had an iphone",0,normal,"Nah can't help you there, I've never had an iphone"
"您尾号7544卡14日14:06ATM支出2,000元，手续费2元。【工商银行】",0,normal,"您尾号7544卡14日14:06ATM支出2,000元，手续费2元。【工商银行】"
【minicute米乔专卖店】亲爱的陈广大，感谢购买我们的商品！我们将随时跟踪播报状态，方便您随时了解。亲如果有问题可以联系客服哦。,0,normal,【minicute米乔专卖店】亲爱的陈广大，感谢购买我们的商品！我们将随时跟踪播报状态，方便您随时了解。亲如果有问题可以联系客服哦。
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,normal,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
"您尾号7544卡19日15:23网上银行支出(消费)1,544元。【工商银行】",0,normal,"您尾号7544卡19日15:23网上银行支出(消费)1,544元。【工商银行】"
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",0,normal,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
美‍媒曝光​中‍国地﻿下﻿空军:不可战‍胜[搜狐]﻿-中﻿国移​动冲浪助手:http://go.100‍86‍.c‌n/nd/m​gp/﻿16r﻿​v‍m​O,1,D,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/16rvmO
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",0,normal,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
您尾号1984浦发信用卡因交易密码错误于13:11人民币230.00元交易失败。如有疑问，请致电卡背面客服热线。【浦发银行】,0,normal,您尾号1984浦发信用卡因交易密码错误于13:11人民币230.00元交易失败。如有疑问，请致电卡背面客服热线。【浦发银行】
探秘中​国唯一核武器生产单​位[搜﻿狐‍]‌-中国移​动﻿‍‍冲浪助﻿手:http:‍//‍﻿go.1008‌6.cn/nd‍﻿/mf4/SXqv‌7,1,D,探秘中国唯一核武器生产单位[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mf4/SXqv7
江苏联通3G晚‍间随意‌‍玩流量﻿包月​‍优惠套餐﻿全新上市，回复1‍701开通10元包1G​省内‌流量、回复‌1702开通30元包5G﻿省‌​内流量，‍晚间时段​为‌每‍日23﻿​点‍‍至​次日﻿8点​‌。订制立即生​效‌‌‌，点击链接也可轻松办理﻿：       http:/​‍​/go.js16‍5.​﻿com/i/1/QBkGe​‍XW​G,1,D,江苏联通3G晚间随意玩流量包月优惠套餐全新上市，回复1701开通10元包1G省内流量、回复1702开通30元包5G省内流量，晚间时段为每日23点至次日8点。订制立即生效，点击链接也可轻松办理：       http://go.js165.com/i/1/QBkGeXWG
How much she payed. Suganya.,0,normal,How much she payed. Suganya.
潍坊万锦小﻿商品‍批发！市中心产​﻿权旺‌铺﻿‍！‍​高回报、零风​险、全款七万起‌，‍终身托管、﻿﻿前十年收‌益87.免费看房053﻿﻿3-27248​55/8‍11,1,D,潍坊万锦小商品批发！市中心产权旺铺！高回报、零风险、全款七万起，终身托管、前十年收益87.免费看房0533-2724855/811
"尊敬的会员：玩美暑假,畅邮""韩国！皇家加勒比豪华邮轮",0,normal,"尊敬的会员：玩美暑假,畅邮""韩国！皇家加勒比豪华邮轮"
"[EL]错峰出行,好房不贵:艺龙送200元大红包至您账户,11月5日前订预付酒店直接抵房费.点 d.elong.cn/50937 下载客户端",0,normal,"[EL]错峰出行,好房不贵:艺龙送200元大红包至您账户,11月5日前订预付酒店直接抵房费.点 d.elong.cn/50937 下载客户端"
Try neva mate!!,0,normal,Try neva mate!!
"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",0,normal,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
家具工﻿厂组﻿团直销会百万件家具底‍价直销‍再送好‍礼到今日19点结束，﻿388元‌床​垫疯狂抢，在‍中山博览中‌‍​心​常年馆红树湾‌﻿13‍﻿6801﻿43362﻿[‌好家网]‌,1,D,家具工厂组团直销会百万件家具底价直销再送好礼到今日19点结束，388元床垫疯狂抢，在中山博览中心常年馆红树湾13680143362[好家网]
您好！您已成功开通短期国际及港澳台漫游功能。若您没有提前关闭，本业务将在30天后自动关闭。国际漫游数据流量费用较高，收发彩信需要收取流量费。了解详细资费和使用方法可登陆www.10086.cn/roaming，国际漫游时如需帮助可拨打+8613800100186（中国移动客户免费）。中国移动,0,normal,您好！您已成功开通短期国际及港澳台漫游功能。若您没有提前关闭，本业务将在30天后自动关闭。国际漫游数据流量费用较高，收发彩信需要收取流量费。了解详细资费和使用方法可登陆www.10086.cn/roaming，国际漫游时如需帮助可拨打+8613800100186（中国移动客户免费）。中国移动
‍冲刺一中/外语‍/实验！‌28天必考‍点集训，点睛​​命题​规律，﻿突破重难点，让学生掌握‍​高​分技巧，‍必抢​80分‍考入示范‌﻿高中！咨602​77﻿8‍28,1,D,冲刺一中/外语/实验！28天必考点集训，点睛命题规律，突破重难点，让学生掌握高分技巧，必抢80分考入示范高中！咨60277828
"Same, I'm at my great aunts anniversary party in tarpon springs",0,normal,"Same, I'm at my great aunts anniversary party in tarpon springs"
​唯品﻿会周​‍二精选‍‌推​荐：宾度男装、蜜雪儿女装、‍欧珀莱﻿化妆品、丹‍尼熊‌‍箱包、‌圣伽步男女鞋‍等热售！回‍复‍​TD‌退​订www.vipshop.com【唯‌‌品会】,1,D,唯品会周二精选推荐：宾度男装、蜜雪儿女装、欧珀莱化妆品、丹尼熊箱包、圣伽步男女鞋等热售！回复TD退订www.vipshop.com【唯品会】
Haha... Hope Ì_ can hear the receipt sound... Gd luck!,0,normal,Haha... Hope Ì_ can hear the receipt sound... Gd luck!
